name,position,actual_eur,predicted_eur,abs_error_eur
Phillipp Steinhart,Defender,325000.0,384736.75,59736.75
Sefa Isci,Defender,250000.0,387113.6,137113.59375
Juan Villalba,Defender,300000.0,413841.97,113841.96875
Garra Dembélé,Attack,3000000.0,1.3095709e+06,1690429.125
Jon Gaztañaga,Midfield,1000000.0,1.8927461e+06,892746.125
Hervé Lybohy,Defender,500000.0,1.4708716e+06,970871.625
Marcelo Oliveira,Defender,800000.0,1.6392056e+06,839205.625
Ole Didrik Blomberg,Attack,3500000.0,1.3314856e+06,2168514.375
Maximilian Kilman,Defender,38000000.0,7.914421e+06,30085579.0
Matthieu Delpierre,Defender,7500000.0,1.8016635e+06,5698336.5
Franco Domínguez,Attack,50000.0,284656.78,234656.78125
Danylo Ignatenko,Midfield,1800000.0,1.1873259e+06,612674.125
Daniel Rivera,Defender,750000.0,593363.9,156636.125
Riccardo Ladinetti,Midfield,350000.0,490186.78,140186.78125
Zvonimir Kozulj,Midfield,1250000.0,741611.75,508388.25
Maxime Wackers,Defender,150000.0,354793.84,204793.84375
Mert Çetin,Defender,4000000.0,1.0284006e+06,2971599.375
Marco Sailer,Attack,500000.0,1.6399201e+06,1139920.125
Alexander Fransson,Midfield,1500000.0,289591.5,1210408.5
Mikkel Ladefoged,Attack,500000.0,307214.72,192785.28125
Néider Parra,Defender,100000.0,312745.34,212745.34375
Lamine Sané,Defender,5500000.0,3.7310918e+06,1768908.25
Ali Maamar,Defender,2000000.0,3.1674392e+06,1167439.25
Jordi Osei-Tutu,Defender,1500000.0,486491.8,1013508.1875
Joey Groenbast,Defender,400000.0,494293.4,94293.40625
Sander Svendsen,Attack,1000000.0,2.0610819e+06,1061081.875
Andrea Cistana,Defender,8000000.0,1.0726062e+06,6927393.75
Cristiano Biraghi,Defender,12000000.0,1.2343308e+07,343308.0
Otar Kakabadze,Defender,1500000.0,1.0312744e+06,468725.625
Arturo Rodríguez,Attack,25000.0,299497.66,274497.65625
Sergio García,Attack,9000000.0,5.403722e+06,3596278.0
Maj Roric,Midfield,150000.0,302604.7,152604.6875
Lasse Wilhelm,Defender,225000.0,263653.6,38653.59375
Waleed Al-Ahmad,Defender,1400000.0,857535.9,542464.125
Louie Watson,Midfield,400000.0,210025.62,189974.375
Ahmad Faqa,Defender,200000.0,208355.81,8355.8125
Simon Galoyan,Midfield,100000.0,84380.016,15619.984375
Jonatan Lima,Midfield,300000.0,533181.9,233181.875
Emrehan Gedikli,Attack,1200000.0,541493.56,658506.4375
Mitchell van Bergen,Attack,4000000.0,8.1941565e+06,4194156.5
Rodrigo Freitas,Defender,400000.0,559285.94,159285.9375
Aaron McGowan,Defender,325000.0,550839.25,225839.25
Mohammed Al-Rashidi,Midfield,50000.0,141063.39,91063.390625
Michael Hoyos,Attack,1200000.0,1.6478828e+06,447882.75
Andreias Calcan,Attack,800000.0,353393.44,446606.5625
Matty Smith,Attack,150000.0,152314.77,2314.765625
Cacá,Defender,3000000.0,1.2671822e+06,1732817.75
Óscar Romero,Midfield,8000000.0,3.8917948e+06,4108205.25
Guram Adzhoev,Attack,150000.0,229804.56,79804.5625
Maksim Klikin,Goalkeeper,100000.0,451328.4,351328.40625
Marco Paixão,Attack,1000000.0,1.7288086e+06,728808.625
Enes Keskin,Midfield,500000.0,523579.75,23579.75
Wallace,Defender,1000000.0,1.6399592e+06,639959.25
Mike Maignan,Goalkeeper,45000000.0,3.8102176e+07,6897824.0
Geny Catamo,Attack,20000000.0,2.0928106e+07,928106.0
Yeong-jae Lee,Midfield,850000.0,772070.4,77929.625
Jean-Marc Makusu,Attack,300000.0,225903.47,74096.53125
Aleksandr Zhirov,Defender,1000000.0,1.7723735e+06,772373.5
Lukas Fernandes,Goalkeeper,400000.0,358025.9,41974.09375
Facundo Jainikoski,Attack,350000.0,173848.73,176151.265625
Luciano Maidana,Defender,150000.0,736884.75,586884.75
Castro,Midfield,900000.0,1.1666129e+06,266612.875
Roan Wilson,Midfield,300000.0,517304.2,217304.1875
Luca Di Matteo,Defender,450000.0,423596.56,26403.4375
Adam Lundkvist,Defender,1000000.0,1.01633506e+06,16335.0625
Xenofon Fetsis,Midfield,350000.0,656052.25,306052.25
Romain Philippoteaux,Midfield,2000000.0,2.0472181e+06,47218.125
Alexis Vossah,Midfield,15000000.0,2.7462008e+06,12253799.25
Habib Al-Watyan,Goalkeeper,450000.0,227028.7,222971.296875
Matteo Ruggeri,Defender,20000000.0,4.955764e+07,29557640.0
Ferhan Evren,Midfield,150000.0,80280.53,69719.46875
Yannick Leliendal,Defender,1000000.0,1.233068e+06,233068.0
Ivo Ilicevic,Attack,5500000.0,3.4744512e+06,2025548.75
Andrés Tovar,Goalkeeper,350000.0,217297.08,132702.921875
Andrea Bertolacci,Midfield,15000000.0,3.3097372e+06,11690262.75
Pablo Pintos,Defender,1500000.0,800393.7,699606.3125
Christian Cueva,Midfield,5000000.0,1.856392e+06,3143608.0
Élie Youan,Attack,2000000.0,3.0656135e+06,1065613.5
Daniel Klein,Goalkeeper,300000.0,445654.4,145654.40625
Andriy Slinkin,Defender,400000.0,604528.25,204528.25
Alexis Antunes,Midfield,3000000.0,1.2835986e+06,1716401.375
Eghosa Bello,Attack,50000.0,245325.45,195325.453125
Damien Da Silva,Defender,5500000.0,4.617559e+06,882441.0
Lukas Hradecky,Goalkeeper,12000000.0,2.5397016e+07,13397016.0
Aleksander Buksa,Attack,3000000.0,724737.75,2275262.25
Saleh Al-Abbas,Attack,450000.0,299395.7,150604.3125
Ziya Alkurt,Attack,500000.0,572144.56,72144.5625
Yannis Clementia,Goalkeeper,1200000.0,416307.28,783692.71875
Marvin Keller,Goalkeeper,9000000.0,5.1394235e+06,3860576.5
Jack Porter,Goalkeeper,400000.0,816219.75,416219.75
Iñaki Williams,Attack,50000000.0,2.8928722e+07,21071278.0
Quique Cebriá,Goalkeeper,300000.0,164880.67,135119.328125
Adrián Guerrero,Midfield,3000000.0,407861.72,2592138.28125
Bogdan Marinkovic,Goalkeeper,50000.0,96472.54,46472.5390625
Mykhaylo Mudryk,Attack,60000000.0,3.1968878e+07,28031122.0
